Zaterdag 25 mei 2019	Hoofddorp Pioniers 	ROEF! 	2 - 6 	987 	
Zaterdag 25 mei 2019	Sparks Haarlem 	Terrasvogels 	10 - 2 	1118 	
Zaterdag 25 mei 2019	Sparks Haarlem 	Terrasvogels 	5 - 4 	1117 	
Zaterdag 11 mei 2019	Terrasvogels 	Hoofddorp Pioniers 	7 - 5 	1212 	
Zaterdag 11 mei 2019	Terrasvogels 	Hoofddorp Pioniers 	9 - 2 	1211 	
Zaterdag 11 mei 2019	DSS 	FysioExpert Olympia Haarlem 	0 - 13 	950 	
Zaterdag 11 mei 2019	DSS 	FysioExpert Olympia Haarlem 	0 - 2 	949 	
Zaterdag 11 mei 2019	ROEF! 	Tex Town Tigers 	5 - 1 	1086 	
Zaterdag 11 mei 2019	ROEF! 	Tex Town Tigers 	5 - 2 	1085 	
Zaterdag 11 mei 2019	Twins Oosterhout 	Sparks Haarlem 	2 - 11 	1152 	
Zaterdag 11 mei 2019	Twins Oosterhout 	Sparks Haarlem 	0 - 4 	1151 	
Zaterdag 04 mei 2019	Hoofddorp Pioniers 	Twins Oosterhout 	9 - 3 	997 	
Zaterdag 04 mei 2019	Hoofddorp Pioniers 	Twins Oosterhout 	8 - 1 	996 	
Zaterdag 04 mei 2019	ROEF! 	Terrasvogels 	2 - 3 	1096 	
Zaterdag 04 mei 2019	ROEF! 	Terrasvogels 	5 - 3 	1095 	
Zaterdag 04 mei 2019	Sparks Haarlem 	DSS 	1 - 0 	1099 	
Zaterdag 04 mei 2019	Sparks Haarlem 	DSS 	8 - 0 	1098 	
Zaterdag 04 mei 2019	Tex Town Tigers 	FysioExpert Olympia Haarlem 	11 - 14 	1136 	
Zaterdag 04 mei 2019	Tex Town Tigers 	FysioExpert Olympia Haarlem 	GESTAAKT 	1135 	
Zondag 28 april 2019	Terrasvogels 	Tex Town Tigers 	9 - 0 	1221 	
Zondag 28 april 2019	Terrasvogels 	Tex Town Tigers 	4 - 9 	1220 	
Zondag 28 april 2019	DSS 	Hoofddorp Pioniers 	13 - 9 	935 	
Zondag 28 april 2019	DSS 	Hoofddorp Pioniers 	8 - 0 	934 	
Zondag 28 april 2019	FysioExpert Olympia Haarlem 	Sparks Haarlem 	4 - 0 	1174 	
Zondag 28 april 2019	FysioExpert Olympia Haarlem 	Sparks Haarlem 	4 - 1 	1173 	
Zondag 28 april 2019	Twins Oosterhout 	ROEF! 	2 - 5 	1149 	
Zondag 28 april 2019	Twins Oosterhout 	ROEF! 	0 - 11 	1148 	
Maandag 22 april 2019	Terrasvogels 	Sparks Haarlem 	3 - 2 	1218 	
Maandag 22 april 2019	Terrasvogels 	Sparks Haarlem 	3 - 11 	1217 	
Maandag 22 april 2019	ROEF! 	Hoofddorp Pioniers 	9 - 0 	1080 	
Maandag 22 april 2019	ROEF! 	Hoofddorp Pioniers 	3 - 5 	1079 	
Maandag 22 april 2019	Twins Oosterhout 	FysioExpert Olympia Haarlem 	2 - 7 	1158 	
Maandag 22 april 2019	Twins Oosterhout 	FysioExpert Olympia Haarlem 	0 - 7 	1157 	
Maandag 22 april 2019	Tex Town Tigers 	DSS 	5 - 4 	1121 	
Maandag 22 april 2019	Tex Town Tigers 	DSS 	7 - 0 	1120 	
Zaterdag 20 april 2019	Terrasvogels 	Twins Oosterhout 	6 - 1 	1224 	
Zaterdag 20 april 2019	Terrasvogels 	Twins Oosterhout 	8 - 7 	1223 	
Zaterdag 20 april 2019	Hoofddorp Pioniers 	FysioExpert Olympia Haarlem 	0 - 11 	1000 	
Zaterdag 20 april 2019	Hoofddorp Pioniers 	FysioExpert Olympia Haarlem 	1 - 4 	999 	
Zaterdag 20 april 2019	ROEF! 	DSS 	4 - 3 	1077 	
Zaterdag 20 april 2019	ROEF! 	DSS 	10 - 3 	1076 	
Zaterdag 20 april 2019	Tex Town Tigers 	Sparks Haarlem 	2 - 3 	1130 	
Zaterdag 20 april 2019	Tex Town Tigers 	Sparks Haarlem 	0 - 10 	1129 	
Zaterdag 13 april 2019	DSS 	Terrasvogels 	0 - 8 	954 	
Zaterdag 13 april 2019	DSS 	Terrasvogels 	3 - 6 	953 	
Zaterdag 13 april 2019	FysioExpert Olympia Haarlem 	ROEF! 	6 - 3 	1171 	
Zaterdag 13 april 2019	FysioExpert Olympia Haarlem 	ROEF! 	3 - 7 	1170 	
Zaterdag 13 april 2019	Sparks Haarlem 	Hoofddorp Pioniers 	7 - 0 	1102 	
Zaterdag 13 april 2019	Sparks Haarlem 	Hoofddorp Pioniers 	10 - 2 	1101 	
Zaterdag 13 april 2019	Twins Oosterhout 	Tex Town Tigers 	1 - 8 	1155 	
Zaterdag 13 april 2019	Twins Oosterhout 	Tex Town Tigers 	4 - 9 	1154 	
